label,text
ham,"안녕하세요, 거래명세서 전달드립니다. 이상 여부 검토 후 회신 부탁드립니다."
spam,결제수단 인증 실패로 서비스가 중단될 예정입니다. 재인증 바랍니다.
spam,[KB국민은행] 결제수단 인증 실패가 발생했습니다. 보안 인증을 다시 진행해주세요. 보호 조치가 자동 적용될 예정입니다.
spam,[KB국민은행] 해외 결제 시도가 확인되었습니다. 보안 인증을 다시 진행해주세요.
ham,"안녕하세요, 서비스 점검 일정 안내드립니다. 업무에 참고 부탁드립니다."
ham,어제 논의한 회의 자료 전달드립니다. 확인 가능하실 때 회신 부탁드립니다.
ham,"안녕하세요 담당자님, 어제 논의한 회의 자료 전달드립니다. 세부 내용은 첨부 자료 참고 부탁드립니다. 확인 부탁드립니다."
ham,수정된 계약서 초안 공유드립니다. 확인 후 회신 부탁드립니다.
ham,"안녕하세요, 거래명세서 전달드립니다. 확인 후 문의사항 있으면 연락 부탁드립니다."
ham,예약하신 상담 일정이 내일 오후 2시로 확정되었습니다.
ham,"안녕하세요 팀원 여러분, 사내 VPN 비밀번호 만료 예정으로 안내드립니다. 변경 방법은 안내 문서에 정리되어 있습니다. 확인 부탁드립니다."
ham,"안녕하세요, 기관 시스템 점검으로 오늘 18시부터 19시까지 접속이 제한됩니다. 업무 일정에 참고 부탁드립니다."
spam,[CJ대한통운] 물품 보관 중입니다. 오늘 내로 배송 정보 확인 바랍니다.
ham,"안녕하세요, 일시적인 시스템 점검이 예정되어 있습니다. 업무에 참고 부탁드립니다."
ham,"안녕하세요 담당자님, 보고서 수정본 전달드립니다. 확인 후 회신 부탁드립니다. 참고 부탁드립니다."
spam,[포인트센터] 안내입니다. 적립금 수령 가능 상태로 확인되었습니다. 기한 내 포인트 전환을 진행해주세요.
ham,"안녕하세요 담당자님, 신규 프로젝트 관련 자료 공유드립니다. 검토 후 편하실 때 의견 부탁드립니다."
ham,"안녕하세요 고객님, 이번 달 정산 내역 공유드립니다. 관련 파일 함께 전달드립니다. 감사합니다."
ham,이번 달 급여명세서를 메일로 전달드립니다.
ham,"안녕하세요 팀원 여러분, 다음 주 교육 참석 여부 확인 부탁드립니다. 참석 여부 확인 후 회신 부탁드립니다."
spam,수취인 부재로 배송 보류 중입니다. 상세 주소 입력 바랍니다.
ham,"안녕하세요 팀원 여러분, 기관 시스템 점검으로 오늘 18시부터 19시까지 접속이 제한됩니다. 급한 업무는 점검 전에 처리 부탁드립니다."
spam,[한진택배] 안내입니다. 수취인 부재로 배송이 보류되었습니다. 수령 주소를 다시 입력해주세요.
spam,[경찰청] 안내입니다. 교통법규 위반 내역이 확인되었습니다. 지금 바로 납부 내역을 확인해주세요.
ham,"안녕하세요 팀원 여러분, 보안 정책 변경 사항을 전달드립니다. 정기 보안 정책에 따라 확인 부탁드립니다."
spam,"[리워드안내] 고객님, 휴면 포인트가 곧 소멸됩니다. 지금 바로 수령 절차를 완료해주세요. 소멸 이후에는 복구가 어렵습니다."
ham,"안녕하세요 고객님, 이번 달 정산 내역 공유드립니다. 문의사항 있으면 연락 부탁드립니다."
spam,[KB국민은행] 결제수단 인증 실패가 발생했습니다. 본인 아니면 즉시 비밀번호를 재설정해주세요. 확인 전까지 일부 거래가 보류됩니다.
spam,무료 수강 혜택 마감 30분 전입니다. 지금 등록 시 전액 지원됩니다.
ham,"안녕하세요 팀원 여러분, 일시적인 시스템 점검이 예정되어 있습니다. 관련 부서에 공유 부탁드립니다."
spam,"[도로교통공단] 고객님, 미납 과태료가 조회되었습니다. 지금 바로 납부 내역을 확인해주세요. 지연 시 가산금이 부과될 수 있습니다."
spam,장기 미사용 계정 해제 안내. 본인 인증 후 정상 이용 가능합니다.
spam,"대출 한도 재산정 결과, 저금리 전환 가능 고객으로 조회되었습니다."
spam,[금융지원센터] 추가 한도 조회가 승인되었습니다. 금일 중 확인 바랍니다. 기한 경과 시 우대 금리가 종료될 수 있습니다.
ham,"안녕하세요 팀원 여러분, 금주 금요일 3시 미팅 일정 다시 안내드립니다. 변경 사항이 있으면 미리 공유 부탁드립니다. 회신 부탁드립니다."
ham,기관 시스템 점검으로 오늘 18시부터 19시까지 접속이 제한됩니다.
spam,배송지 오류로 반송 예정입니다. 수령 주소를 지금 수정해주세요.
ham,일시적인 시스템 점검이 예정되어 있습니다. 불편을 드려 죄송합니다.
ham,세금계산서 발행이 완료되었습니다. 첨부파일 확인 부탁드립니다.
ham,"안녕하세요, 예약하신 상담 일정이 확정되었습니다. 상세 내역은 시스템에서 확인 가능합니다. 참고 부탁드립니다."
spam,[국세청] 지원금 신청 대상입니다. 신청 정보를 입력해 접수해주세요.
spam,[한진택배] 배송지 정보가 일치하지 않습니다. 오늘 내로 배송 정보를 확인해주세요. 미확인 시 반송 처리될 수 있습니다.
spam,[롯데택배] 물품 보관 기간이 만료될 예정입니다. 재배달 접수를 진행해주세요. 보관 기한이 지나면 자동 반송됩니다.
ham,"안녕하세요, 견적서 전달드립니다. 변경된 부분은 별도 표시해두었습니다. 참고 부탁드립니다."
ham,사내 VPN 비밀번호 만료 예정으로 안내드립니다. 필요한 경우 오늘 중 변경 부탁드립니다.
spam,[정부24] 지원금 신청 대상입니다. 금일 중 확인 바랍니다. 오늘 마감 후에는 재접수가 어렵습니다.
spam,"[금융지원센터] 고객님, 추가 한도 조회가 승인되었습니다. 오늘 안에 신청 여부를 확인해주세요. 금일 이후에는 조건이 변경될 수 있습니다."
ham,"안녕하세요 담당자님, 검토 요청하신 제안서 전달드립니다. 확인 후 필요하신 사항 있으시면 회신 부탁드립니다."
spam,[한진택배] 수취인 부재로 배송이 보류되었습니다. 재배달 접수를 진행해주세요.
ham,"안녕하세요 고객님, 견적서 전달드립니다. 추가 수정 요청 있으시면 알려주세요. 참고 부탁드립니다."
ham,"안녕하세요 담당자님, 금주 금요일 3시 미팅 일정 다시 안내드립니다. 변경이 필요하시면 미리 말씀해주세요."
spam,고객님 계정 보호를 위해 비밀번호를 즉시 재설정해주세요. 미조치 시 제한됩니다.
spam,[신한은행] 해외 결제 시도가 확인되었습니다. 보안 인증을 다시 진행해주세요. 미조치 시 서비스 이용이 제한될 수 있습니다.
ham,"안녕하세요 담당자님, 어제 논의한 회의 자료 전달드립니다. 수정 사항 있으시면 말씀해주세요. 확인 부탁드립니다."
spam,"[KB국민은행] 고객님, 비정상 로그인이 감지되었습니다. 본인 확인 후 차단 해제가 가능합니다. 미조치 시 서비스 이용이 제한될 수 있습니다."
spam,[서민금융] 저금리 전환 가능 고객으로 조회되었습니다. 오늘 안에 신청 여부를 확인해주세요. 기한 경과 시 우대 금리가 종료될 수 있습니다.
ham,정기 구독 결제가 완료되었습니다. 이용해주셔서 감사합니다.
ham,"안녕하세요 고객님, 세금계산서 발행이 완료되었습니다. 이상 여부 검토 후 회신 부탁드립니다."
spam,[등기안내] 안내입니다. 열람 기한이 임박했습니다. 금일 중 열람 여부를 확인해주세요.
ham,이번 달 정산 내역 공유드립니다. 이상 여부 확인 후 회신 부탁드립니다.
ham,"안녕하세요, 서비스 점검 일정 안내드립니다. 점검 완료 후 순차적으로 정상화될 예정입니다. 참고 부탁드립니다."
spam,이번 달 통신비 지원 대상입니다. 신청하지 않으면 자동 소멸됩니다.
spam,"[KB국민은행] 고객님, 결제수단 인증 실패가 발생했습니다. 본인 확인 후 차단 해제가 가능합니다. 확인 전까지 일부 거래가 보류됩니다."
spam,[KB국민은행] 비정상 로그인 감지. 본인 아니면 즉시 확인 바랍니다.
spam,카드 승인 실패로 결제가 보류되었습니다. 재등록 후 정상 처리하세요.
ham,"안녕하세요, 세금계산서 발행이 완료되었습니다. 관련 파일 함께 전달드립니다. 감사합니다."
ham,"안녕하세요, 수정된 계약서 초안 공유드립니다. 필요 시 추가 설명 드리겠습니다. 감사합니다."
ham,"안녕하세요 담당자님, 이번 달 정산 내역 공유드립니다. 세부 내역은 첨부 문서에서 확인 가능합니다. 참고 부탁드립니다."
ham,"안녕하세요, 어제 논의한 회의 자료 전달드립니다. 검토 후 의견 부탁드립니다."
ham,"안녕하세요 담당자님, 기관 시스템 점검으로 오늘 18시부터 19시까지 접속이 제한됩니다. 업무에 참고 부탁드립니다. 감사합니다."
spam,[정부24] 지원금 신청 대상입니다. 신청 정보를 입력해 접수해주세요. 기한 내 미신청 시 대상에서 제외될 수 있습니다.
ham,비밀번호 변경 안내 메일입니다. 필요한 경우 오늘 중 변경 부탁드립니다.
spam,"[등기안내] 고객님, 열람 기한이 임박했습니다. 본인 확인 후 문서를 조회해주세요. 기한 경과 시 재열람이 제한될 수 있습니다."
spam,[국세청] 환급 대상자로 확인되었습니다. 오늘 안에 본인확인 진행 바랍니다.
ham,"안녕하세요, 이번 달 정산 내역 공유드립니다. 확인 후 문의사항 있으면 연락 부탁드립니다."
spam,[경찰청] 범칙금 납부 기한이 오늘 종료됩니다. 금일 중 확인 바랍니다. 지연 시 가산금이 부과될 수 있습니다.
spam,[복지로] 지원금 신청 대상입니다. 금일 중 확인 바랍니다. 기한 경과 시 신청이 자동 종료됩니다.
ham,"안녕하세요, 비밀번호 변경 안내 메일입니다. 적용 후 정상 접속 여부만 확인 부탁드립니다."
ham,금주 금요일 3시 미팅 일정 다시 안내드립니다.
ham,사내 계정 보안 강화를 위해 비밀번호 변경 공지가 배포되었습니다.
spam,소상공인 특별지원금 대상 확인 완료. 간단 정보 입력 후 신청 가능합니다.
spam,[멤버십센터] 적립금 수령 가능 상태로 확인되었습니다. 금일 중 확인 바랍니다. 미수령 시 자동 회수될 수 있습니다.
spam,[CJ대한통운] 안내입니다. 배송지 정보가 일치하지 않습니다. 수령 주소를 다시 입력해주세요.
spam,"[정부24] 고객님, 지원금 신청 대상입니다. 오늘 안에 본인확인 진행 바랍니다. 오늘 마감 후에는 재접수가 어렵습니다."
ham,"안녕하세요 담당자님, 서비스 점검 일정 안내드립니다. 점검 시간 동안 일부 기능 이용이 제한될 수 있습니다. 참고 부탁드립니다."
ham,"안녕하세요 고객님, 이번 달 정산 내역 공유드립니다. 이상 여부 검토 후 회신 부탁드립니다."
spam,[포인트센터] 회원 리워드가 지급 대기 중입니다. 금일 중 확인 바랍니다. 마감 후에는 혜택이 종료됩니다.
spam,[리워드안내] 휴면 포인트가 곧 소멸됩니다. 기한 내 포인트 전환을 진행해주세요.
ham,"안녕하세요 고객님, 보고서 수정본 전달드립니다. 검토 후 수정 의견 주시면 반영하겠습니다."
ham,비밀번호 변경 안내 메일입니다. 정기 보안 정책에 따라 변경 부탁드립니다.
ham,"안녕하세요 팀원 여러분, 비밀번호 변경 안내 메일입니다. 보안 강화를 위한 정기 점검 항목입니다. 감사합니다."
spam,[멤버십센터] 적립금 수령 가능 상태로 확인되었습니다. 기한 내 포인트 전환을 진행해주세요. 소멸 이후에는 복구가 어렵습니다.
spam,[신한은행] 비정상 로그인이 감지되었습니다. 본인 아니면 즉시 비밀번호를 재설정해주세요. 보호 조치가 자동 적용될 예정입니다.
ham,"안녕하세요 팀원 여러분, 내일 오후 2시 회의 일정 확정되어 안내드립니다. 참석 가능 여부 회신 부탁드립니다."
spam,미납 과태료가 조회되었습니다. 금일 내 납부 시 가산금이 면제됩니다.
ham,"안녕하세요 담당자님, 사내 VPN 비밀번호 만료 예정으로 안내드립니다. 관련 공지 확인 후 반영 부탁드립니다."
ham,"안녕하세요 담당자님, 검토 요청하신 제안서 전달드립니다. 세부 내용은 첨부 자료 참고 부탁드립니다. 감사합니다."
spam,[복지로] 환급 대상자로 확인되었습니다. 금일 중 확인 바랍니다. 기한 경과 시 신청이 자동 종료됩니다.
spam,[경찰청] 안내입니다. 미납 과태료가 조회되었습니다. 지금 바로 납부 내역을 확인해주세요.
spam,[롯데택배] 배송지 정보가 일치하지 않습니다. 재배달 접수를 진행해주세요.
spam,[서민금융] 저금리 전환 가능 고객으로 조회되었습니다. 오늘 안에 신청 여부를 확인해주세요.
spam,[우리은행] 안내입니다. 해외 결제 시도가 확인되었습니다. 보안 인증을 다시 진행해주세요.
ham,"안녕하세요, 주문하신 상품이 오늘 출고되었습니다. 이용해주셔서 감사합니다. 참고 부탁드립니다."
ham,이번 달 정산 내역 공유드립니다. 첨부파일 확인 부탁드립니다.
ham,"안녕하세요 팀원 여러분, 서비스 점검 일정 안내드립니다. 관련 부서에 공유 부탁드립니다."
ham,오늘 전달드린 파일은 최종본이 아니라 검토본입니다.
ham,"안녕하세요, 수정된 계약서 초안 공유드립니다. 확인 부탁드립니다."
spam,"[우체국택배] 고객님, 배송지 정보가 일치하지 않습니다. 재배달 접수를 진행해주세요. 오늘 이후에는 추가 비용이 발생할 수 있습니다."
spam,"[도로교통공단] 고객님, 미납 과태료가 조회되었습니다. 지금 바로 납부 내역을 확인해주세요. 미납 상태가 지속되면 별도 통지가 진행됩니다."
ham,주문하신 상품이 오늘 출고되었습니다. 송장번호는 시스템에서 확인 가능합니다.
spam,휴면 포인트가 곧 소멸됩니다. 수령 계좌를 등록해주세요.
spam,[금융지원센터] 안내입니다. 대출 한도 재산정이 완료되었습니다. 간단 심사 후 바로 전환 가능합니다.
spam,고객님 명의로 접수된 민원이 있어 확인이 필요합니다. 오늘 중 처리 바랍니다.
spam,[우체국택배] 안내입니다. 물품 보관 기간이 만료될 예정입니다. 오늘 내로 배송 정보를 확인해주세요.
ham,"안녕하세요, 거래명세서 전달드립니다. 이상 여부 확인 후 회신 부탁드립니다."
spam,[롯데택배] 수취인 부재로 배송이 보류되었습니다. 오늘 내로 배송 정보를 확인해주세요. 미확인 시 반송 처리될 수 있습니다.
ham,"안녕하세요, 검토 요청하신 제안서 전달드립니다. 검토 후 편하실 때 의견 부탁드립니다."
spam,[롯데택배] 물품 보관 기간이 만료될 예정입니다. 수령 주소를 다시 입력해주세요. 보관 기한이 지나면 자동 반송됩니다.
spam,[민원24] 교통법규 위반 내역이 확인되었습니다. 조회 후 바로 처리 바랍니다.
spam,[서민금융] 저금리 전환 가능 고객으로 조회되었습니다. 금일 중 확인 바랍니다. 금일 이후에는 조건이 변경될 수 있습니다.
